,Country,Symbol,Date,Close,Confirmed,Rate,Close_Rate_Normalized
0,United Kingdom,^FTSE,2020-06-02,6220.100098,259046.0,0.8708516614788921,-17.852848314105987
1,Saudi Arabia,^TASI-SR,2020-06-02,7285.23,89011.0,-0.05,-13.561361190573086
2,Canada,^GSPTSE,2020-06-02,15394.400390625,93960.0,1.0383179092197223,-12.531320924423065
3,"Korea, South",^KS11,2020-06-02,2087.18994140625,11590.0,1.0706540397854578,-7.941782273403902
4,Turkey,^BIST,2020-06-02,108097.27,165555.0,0.77,-11.934956008729491
5,Japan,^N225,2020-06-02,22325.609375,16837.0,1.1930654047151792,-7.097979355105313
6,Argentina,^MERV,2020-06-02,42037.55859375,18319.0,5.049301824703908,0.08384949476815651
7,Spain,^IBEX,2020-06-02,7408.10009765625,239932.0,2.585373997248169,-22.620304095952
8,India,^BSESN,2020-06-02,33825.53125,207191.0,1.5674370940289837,-17.730221269920452
9,France,^FCHI,2020-06-02,4858.97021484375,185112.0,2.0196279069481338,-19.16509070050588
10,Germany,^GDAXI,2020-06-02,12021.2802734375,183879.0,3.749342389936598,-11.05724600234911
11,Russia,IMOEX.ME,2020-06-02,2796.510009765625,423186.0,1.6823993431681166,-11.910404813779328
12,China,000001.SS,2020-06-02,2921.39794921875,84161.0,0.20467098015719,-4.553024959798783
13,Australia,^AXJO,2020-06-02,5835.10009765625,7229.0,0.27323174680530393,-17.676353024037105
14,Brazil,^BVSP,2020-06-02,91046.0,555383.0,2.737531031369894,-23.097194888124946
15,US,^NYA,2020-06-02,12046.41015625,1837371.0,1.2282938747133356,-14.62647016297427
16,Italy,FTSEMIB.MI,2020-06-02,18980.5,233515.0,2.47,-19.934751494223686
17,Japan,^N225,2020-06-01,22062.390625,16787.0,0.8433171330931271,-8.193293410631437
18,France,^FCHI,2020-06-01,4762.77978515625,185952.0,1.434154085460035,-20.765336084911567
19,US,^NYA,2020-06-01,11900.240234375,1816476.0,0.8242857713755193,-15.662383935177731
20,Turkey,^BIST,2020-06-01,107266.19,164769.0,1.65,-12.61202303142364
21,Argentina,^MERV,2020-06-01,40016.98046875,17415.0,5.795811292855586,-4.726782799776829
22,"Korea, South",^KS11,2020-06-01,2065.080078125,11541.0,1.7481327831027162,-8.916966451648472
23,Spain,^IBEX,2020-06-01,7221.39990234375,239638.0,1.7600211702071444,-24.570440318203946
24,Italy,FTSEMIB.MI,2020-06-01,18523.71,233197.0,1.79,-21.861624066861587
25,Saudi Arabia,^TASI-SR,2020-06-01,7288.81,87142.0,1.05,-13.518884792856355
26,Australia,^AXJO,2020-06-01,5819.2001953125,7221.0,1.1032541279984498,-17.900674445365404
27,Brazil,^BVSP,2020-06-01,88620.0,526447.0,1.3924007185108065,-25.146337137113466
28,China,000001.SS,2020-06-01,2915.430908203125,84154.0,2.211503154521481,-4.747978206423237
29,Canada,^GSPTSE,2020-06-01,15236.2001953125,93288.0,0.2856642039843735,-13.430190757762565
30,Russia,IMOEX.ME,2020-06-01,2750.239990234375,414328.0,0.5634687227054355,-13.367902650559087
31,United Kingdom,^FTSE,2020-06-01,6166.399902,257579.0,1.4777968362531568,-18.562052037015953
32,India,^BSESN,2020-06-01,33303.51953125,198370.0,2.7122416118556685,-18.99984770323984
33,Saudi Arabia,^TASI-SR,2020-05-31,7213.03,85261.0,2.3,-14.41800809424539
34,Brazil,^BVSP,2020-05-29,87403.0,465166.0,0.5221451655568207,-26.174286896808034
35,Italy,FTSEMIB.MI,2020-05-29,18197.56,232248.0,-0.84,-23.23741926720714
36,Australia,^AXJO,2020-05-29,5755.7001953125,7184.0,-1.6304609518125304,-18.79655480653922
37,France,^FCHI,2020-05-29,4695.43994140625,183816.0,-1.591783382541223,-21.88561670427906
38,Canada,^GSPTSE,2020-05-29,15192.7998046875,90909.0,-0.4579818101024346,-13.676785281940628
39,Turkey,^BIST,2020-05-29,105520.47,162120.0,0.15,-14.034232015946937
40,Germany,^GDAXI,2020-05-29,11586.849609375,182922.0,-1.649080142312459,-14.27150095721658
41,Spain,^IBEX,2020-05-29,7096.5,238564.0,-1.7663113181065684,-25.8750550418714
42,United Kingdom,^FTSE,2020-05-29,6076.600098,253977.0,-2.2866101411669377,-19.74801335666152
