,Country,Correlations,Lat,Long,Date
0,Italy,-0.74,41.87194,12.56738,2020-01-22
1,Italy,-0.74,41.87194,12.56738,2020-01-23
2,Italy,-0.74,41.87194,12.56738,2020-01-24
3,Italy,-0.74,41.87194,12.56738,2020-01-25
4,Italy,-0.74,41.87194,12.56738,2020-01-26
5,Italy,-0.74,41.87194,12.56738,2020-01-27
6,Italy,-0.74,41.87194,12.56738,2020-01-28
7,Italy,-0.74,41.87194,12.56738,2020-01-29
8,Italy,-0.74,41.87194,12.56738,2020-01-30
9,Italy,-0.74,41.87194,12.56738,2020-01-31
10,Italy,-0.74,41.87194,12.56738,2020-02-01
11,Italy,-0.74,41.87194,12.56738,2020-02-02
12,Italy,-0.74,41.87194,12.56738,2020-02-03
13,Italy,-0.74,41.87194,12.56738,2020-02-04
14,Italy,-0.74,41.87194,12.56738,2020-02-05
15,Italy,-0.74,41.87194,12.56738,2020-02-06
16,Italy,-0.74,41.87194,12.56738,2020-02-07
17,Italy,-0.74,41.87194,12.56738,2020-02-08
18,Italy,-0.74,41.87194,12.56738,2020-02-09
19,Italy,-0.74,41.87194,12.56738,2020-02-10
20,Italy,-0.74,41.87194,12.56738,2020-02-11
21,Italy,-0.74,41.87194,12.56738,2020-02-12
22,Italy,-0.74,41.87194,12.56738,2020-02-13
23,Italy,-0.74,41.87194,12.56738,2020-02-14
24,Italy,-0.74,41.87194,12.56738,2020-02-15
25,Italy,-0.74,41.87194,12.56738,2020-02-16
26,Italy,-0.74,41.87194,12.56738,2020-02-17
27,Italy,-0.74,41.87194,12.56738,2020-02-18
28,Italy,-0.74,41.87194,12.56738,2020-02-19
29,Italy,-0.74,41.87194,12.56738,2020-02-20
30,Italy,-0.74,41.87194,12.56738,2020-02-21
31,Italy,-0.74,41.87194,12.56738,2020-02-22
32,Italy,-0.74,41.87194,12.56738,2020-02-23
33,Italy,-0.74,41.87194,12.56738,2020-02-24
34,Italy,-0.74,41.87194,12.56738,2020-02-25
35,Italy,-0.74,41.87194,12.56738,2020-02-26
36,Italy,-0.74,41.87194,12.56738,2020-02-27
37,Italy,-0.74,41.87194,12.56738,2020-02-28
38,Italy,-0.74,41.87194,12.56738,2020-02-29
39,Italy,-0.74,41.87194,12.56738,2020-03-01
40,Italy,-0.74,41.87194,12.56738,2020-03-02
41,Italy,-0.74,41.87194,12.56738,2020-03-03
42,Italy,-0.74,41.87194,12.56738,2020-03-04
43,Italy,-0.74,41.87194,12.56738,2020-03-05
44,Italy,-0.74,41.87194,12.56738,2020-03-06
45,Italy,-0.74,41.87194,12.56738,2020-03-07
46,Italy,-0.74,41.87194,12.56738,2020-03-08
47,Italy,-0.74,41.87194,12.56738,2020-03-09
48,Italy,-0.74,41.87194,12.56738,2020-03-10
49,Italy,-0.74,41.87194,12.56738,2020-03-11
50,Italy,-0.74,41.87194,12.56738,2020-03-12
51,Italy,-0.74,41.87194,12.56738,2020-03-13
52,Italy,-0.74,41.87194,12.56738,2020-03-14
53,Italy,-0.74,41.87194,12.56738,2020-03-15
54,Italy,-0.74,41.87194,12.56738,2020-03-16
55,Italy,-0.74,41.87194,12.56738,2020-03-17
56,Italy,-0.74,41.87194,12.56738,2020-03-18
57,Italy,-0.74,41.87194,12.56738,2020-03-19
58,Italy,-0.74,41.87194,12.56738,2020-03-20
59,Italy,-0.74,41.87194,12.56738,2020-03-21
60,Italy,-0.74,41.87194,12.56738,2020-03-22
61,Italy,-0.74,41.87194,12.56738,2020-03-23
62,Italy,-0.74,41.87194,12.56738,2020-03-24
63,Italy,-0.74,41.87194,12.56738,2020-03-25
64,Italy,-0.74,41.87194,12.56738,2020-03-26
65,Italy,-0.74,41.87194,12.56738,2020-03-27
66,Italy,-0.74,41.87194,12.56738,2020-03-28
67,Italy,-0.74,41.87194,12.56738,2020-03-29
68,Italy,-0.74,41.87194,12.56738,2020-03-30
69,Italy,-0.74,41.87194,12.56738,2020-03-31
70,Italy,-0.74,41.87194,12.56738,2020-04-01
71,Italy,-0.74,41.87194,12.56738,2020-04-02
72,Italy,-0.74,41.87194,12.56738,2020-04-03
73,Italy,-0.74,41.87194,12.56738,2020-04-04
74,Italy,-0.74,41.87194,12.56738,2020-04-05
75,Italy,-0.74,41.87194,12.56738,2020-04-06
76,Italy,-0.74,41.87194,12.56738,2020-04-07
77,Italy,-0.74,41.87194,12.56738,2020-04-08
78,Italy,-0.74,41.87194,12.56738,2020-04-09
79,Italy,-0.74,41.87194,12.56738,2020-04-10
80,Italy,-0.74,41.87194,12.56738,2020-04-11
81,Italy,-0.74,41.87194,12.56738,2020-04-12
82,Italy,-0.74,41.87194,12.56738,2020-04-13
83,Italy,-0.74,41.87194,12.56738,2020-04-14
84,Italy,-0.74,41.87194,12.56738,2020-04-15
85,Italy,-0.74,41.87194,12.56738,2020-04-16
86,Italy,-0.74,41.87194,12.56738,2020-04-17
87,Italy,-0.74,41.87194,12.56738,2020-04-18
88,Italy,-0.74,41.87194,12.56738,2020-04-19
89,Italy,-0.74,41.87194,12.56738,2020-04-20
90,Italy,-0.74,41.87194,12.56738,2020-04-21
91,Italy,-0.74,41.87194,12.56738,2020-04-22
92,Italy,-0.74,41.87194,12.56738,2020-04-23
93,Italy,-0.74,41.87194,12.56738,2020-04-24
94,Italy,-0.74,41.87194,12.56738,2020-04-25
95,Italy,-0.74,41.87194,12.56738,2020-04-26
96,Italy,-0.74,41.87194,12.56738,2020-04-27
97,Italy,-0.74,41.87194,12.56738,2020-04-28
98,Italy,-0.74,41.87194,12.56738,2020-04-29
99,Italy,-0.74,41.87194,12.56738,2020-04-30
100,Italy,-0.74,41.87194,12.56738,2020-05-01
